src_ip,dst_ip,src_port,dst_port,protocol,timestamp,flow_duration,flow_byts_s,flow_pkts_s,fwd_pkts_s,bwd_pkts_s,tot_fwd_pkts,tot_bwd_pkts,totlen_fwd_pkts,totlen_bwd_pkts,fwd_pkt_len_max,fwd_pkt_len_min,fwd_pkt_len_mean,fwd_pkt_len_std,bwd_pkt_len_max,bwd_pkt_len_min,bwd_pkt_len_mean,bwd_pkt_len_std,pkt_len_max,pkt_len_min,pkt_len_mean,pkt_len_std,pkt_len_var,fwd_header_len,bwd_header_len,fwd_seg_size_min,fwd_act_data_pkts,flow_iat_mean,flow_iat_max,flow_iat_min,flow_iat_std,fwd_iat_tot,fwd_iat_max,fwd_iat_min,fwd_iat_mean,fwd_iat_std,bwd_iat_tot,bwd_iat_max,bwd_iat_min,bwd_iat_mean,bwd_iat_std,fwd_psh_flags,bwd_psh_flags,fwd_urg_flags,bwd_urg_flags,fin_flag_cnt,syn_flag_cnt,rst_flag_cnt,psh_flag_cnt,ack_flag_cnt,urg_flag_cnt,ece_flag_cnt,down_up_ratio,pkt_size_avg,init_fwd_win_byts,init_bwd_win_byts,active_max,active_min,active_mean,active_std,idle_max,idle_min,idle_mean,idle_std,fwd_byts_b_avg,fwd_pkts_b_avg,bwd_byts_b_avg,bwd_pkts_b_avg,fwd_blk_rate_avg,bwd_blk_rate_avg,fwd_seg_size_avg,bwd_seg_size_avg,cwr_flag_count,subflow_fwd_pkts,subflow_bwd_pkts,subflow_fwd_byts,subflow_bwd_byts
172.18.0.1,172.18.0.5,2974,80,6,2025-11-06 18:35:06,2.4e-05,9166666.666666666,166666.66666666666,125000.0,41666.666666666664,3,1,162,58,54,54,54.0,0.0,58,58,58.0,0.0,58,54,55.0,1.7320508075688772,3.0,60,20,20,0,8e-06,1.5e-05,0.0,6.1644140029689764e-06,2.4e-05,2.4e-05,0.0,1.2e-05,1.2e-05,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0.3333333333333333,55.0,512,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,58.0,0,3,1,162,58
172.18.0.1,172.18.0.5,2975,80,6,2025-11-06 18:35:06,2.9e-05,7586206.8965517245,137931.0344827586,103448.27586206897,34482.75862068965,3,1,162,58,54,54,54.0,0.0,58,58,58.0,0.0,58,54,55.0,1.7320508075688772,3.0,60,20,20,0,9.666666666666667e-06,2.1e-05,0.0,8.65383665716478e-06,2.9e-05,2.9e-05,0.0,1.45e-05,1.45e-05,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0.3333333333333333,55.0,512,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,58.0,0,3,1,162,58
172.18.0.1,172.18.0.5,2976,80,6,2025-11-06 18:35:06,2.7e-05,8148148.148148148,148148.14814814815,111111.11111111111,37037.03703703704,3,1,162,58,54,54,54.0,0.0,58,58,58.0,0.0,58,54,55.0,1.7320508075688772,3.0,60,20,20,0,9e-06,1.8e-05,0.0,7.348469228349535e-06,2.7e-05,2.7e-05,0.0,1.35e-05,1.35e-05,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0.3333333333333333,55.0,512,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,58.0,0,3,1,162,58
172.18.0.1,172.18.0.5,2977,80,6,2025-11-06 18:35:06,2.3e-05,9565217.391304348,173913.04347826086,130434.78260869565,43478.260869565216,3,1,162,58,54,54,54.0,0.0,58,58,58.0,0.0,58,54,55.0,1.7320508075688772,3.0,60,20,20,0,7.666666666666667e-06,1.5e-05,0.0,6.128258770283412e-06,2.3e-05,2.3e-05,0.0,1.15e-05,1.15e-05,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0.3333333333333333,55.0,512,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,58.0,0,3,1,162,58
172.18.0.1,172.18.0.5,2978,80,6,2025-11-06 18:35:06,2.3e-05,9565217.391304348,173913.04347826086,130434.78260869565,43478.260869565216,3,1,162,58,54,54,54.0,0.0,58,58,58.0,0.0,58,54,55.0,1.7320508075688772,3.0,60,20,20,0,7.666666666666667e-06,1.4e-05,0.0,5.7927157323275895e-06,2.3e-05,2.3e-05,0.0,1.15e-05,1.15e-05,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0.3333333333333333,55.0,512,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,58.0,0,3,1,162,58
172.18.0.1,172.18.0.5,2979,80,6,2025-11-06 18:35:06,2.6e-05,8461538.461538462,153846.15384615384,115384.61538461539,38461.53846153846,3,1,162,58,54,54,54.0,0.0,58,58,58.0,0.0,58,54,55.0,1.7320508075688772,3.0,60,20,20,0,8.666666666666668e-06,1.8e-05,0.0,7.363574011458174e-06,2.6e-05,2.6e-05,0.0,1.3e-05,1.3e-05,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0.3333333333333333,55.0,512,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,58.0,0,3,1,162,58
172.18.0.1,172.18.0.5,2980,80,6,2025-11-06 18:35:06,2.4e-05,9166666.666666666,166666.66666666666,125000.0,41666.666666666664,3,1,162,58,54,54,54.0,0.0,58,58,58.0,0.0,58,54,55.0,1.7320508075688772,3.0,60,20,20,0,8e-06,1.5e-05,0.0,6.1644140029689764e-06,2.4e-05,2.4e-05,0.0,1.2e-05,1.2e-05,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0.3333333333333333,55.0,512,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,58.0,0,3,1,162,58
172.18.0.1,172.18.0.5,2981,80,6,2025-11-06 18:35:06,2.6e-05,8461538.461538462,153846.15384615384,115384.61538461539,38461.53846153846,3,1,162,58,54,54,54.0,0.0,58,58,58.0,0.0,58,54,55.0,1.7320508075688772,3.0,60,20,20,0,8.666666666666668e-06,1.7e-05,0.0,6.9442222186665525e-06,2.6e-05,2.6e-05,0.0,1.3e-05,1.3e-05,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0.3333333333333333,55.0,512,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,58.0,0,3,1,162,58
172.18.0.1,172.18.0.5,2982,80,6,2025-11-06 18:35:06,2.6e-05,8461538.461538462,153846.15384615384,115384.61538461539,38461.53846153846,3,1,162,58,54,54,54.0,0.0,58,58,58.0,0.0,58,54,55.0,1.7320508075688772,3.0,60,20,20,0,8.666666666666668e-06,1.7e-05,0.0,6.9442222186665525e-06,2.6e-05,2.6e-05,0.0,1.3e-05,1.3e-05,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0.3333333333333333,55.0,512,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,58.0,0,3,1,162,58
172.18.0.1,172.18.0.5,2983,80,6,2025-11-06 18:35:06,2.3e-05,9565217.391304348,173913.04347826086,130434.78260869565,43478.260869565216,3,1,162,58,54,54,54.0,0.0,58,58,58.0,0.0,58,54,55.0,1.7320508075688772,3.0,60,20,20,0,7.666666666666667e-06,1.5e-05,0.0,6.128258770283412e-06,2.3e-05,2.3e-05,0.0,1.15e-05,1.15e-05,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0.3333333333333333,55.0,512,64240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.0,58.0,0,3,1,162,58
